education,gender,byear,employment,hhinc,pol_ideo,pol_pident,marr_status,soc_dist6,soc_dist7,age,mask_binary,iso_binary,gender_group,education_group,income_group,ideo_group,party_group,employment_group,marital_group
High school graduate,Male,1989.0,Self-employed,"$20,000 - $29,999",Conservative,"Independent, but lean Republican","Single, never married",10.0,6.0,31.0,1,1,Male,Some college or less,Less than 50k,Conservative,Other or independent,Working,Not married
Professional degree,Female,1980.0,"Unemployed, looking for work","Less than $10,000",Slightly liberal,Independent with no party preference,"Single, never married",11.0,11.0,40.0,1,1,Female,Advanced degree,Less than 50k,Liberal,Other or independent,Not working,Not married
4-year degree,Male,1966.0,Employed full-time in an organization,"$50,000 - $59,999",Liberal,Democrat,Married or in a domestic partnership,11.0,11.0,54.0,1,1,Male,College degree,50k to 99k,Liberal,Democrat,Working,Married
4-year degree,Male,1968.0,Employed full-time in an organization,"$125,000 or more",Slightly conservative,"Independent, but lean Republican",Married or in a domestic partnership,11.0,11.0,52.0,1,1,Male,College degree,100k+,Conservative,Other or independent,Working,Married
4-year degree,Female,1972.0,Employed full-time in an organization,"$40,000 - $49,999",Extremely liberal,Republican,Married or in a domestic partnership,8.0,8.0,48.0,1,1,Female,College degree,Less than 50k,Liberal,Republican,Working,Married
2-year degree,Male,1999.0,Employed full-time in an organization,"$20,000 - $29,999",Moderate; middle of the road,"Independent, but lean Democrat","Single, never married",11.0,6.0,21.0,1,1,Male,College degree,Less than 50k,Moderate,Other or independent,Working,Not married
2-year degree,Female,1991.0,Currently unable to work,"$10,000 - $19,999",Moderate; middle of the road,Independent with no party preference,Married or in a domestic partnership,11.0,11.0,29.0,1,1,Female,College degree,Less than 50k,Moderate,Other or independent,Not working,Married
4-year degree,Female,1991.0,Employed full-time in an organization,"$10,000 - $19,999",Liberal,"Independent, but lean Democrat","Single, never married",11.0,11.0,29.0,1,1,Female,College degree,Less than 50k,Liberal,Other or independent,Working,Not married
Some college,Female,1966.0,Employed part-time in an organization,"$30,000 - $39,999",Conservative,Republican,Married or in a domestic partnership,8.0,1.0,54.0,0,1,Female,Some college or less,Less than 50k,Conservative,Republican,Working,Married
Professional degree,Male,1990.0,Employed full-time in an organization,"$70,000 - $79,999",Liberal,Republican,Married or in a domestic partnership,9.0,8.0,30.0,1,1,Male,Advanced degree,50k to 99k,Liberal,Republican,Working,Married
Professional degree,Male,1980.0,Employed full-time in an organization,"$60,000 - $69,999",Conservative,Republican,Married or in a domestic partnership,11.0,11.0,40.0,1,1,Male,Advanced degree,50k to 99k,Conservative,Republican,Working,Married
Some college,Male,1995.0,"Unemployed, looking for work","$30,000 - $39,999",Moderate; middle of the road,"Independent, but lean Democrat","Single, never married",8.0,11.0,25.0,1,1,Male,Some college or less,Less than 50k,Moderate,Other or independent,Not working,Not married
Some college,Male,1975.0,Employed full-time in an organization,"$70,000 - $79,999",Slightly conservative,Democrat,Married or in a domestic partnership,9.0,9.0,45.0,1,1,Male,Some college or less,50k to 99k,Conservative,Democrat,Working,Married
High school graduate,Male,1991.0,Employed full-time in an organization,"$40,000 - $49,999",Extremely conservative,Republican,"Single, never married",9.0,10.0,29.0,1,1,Male,Some college or less,Less than 50k,Conservative,Republican,Working,Not married
4-year degree,Male,1996.0,Employed full-time in an organization,"$60,000 - $69,999",Slightly conservative,"Independent, but lean Republican","Single, never married",1.0,1.0,24.0,0,0,Male,College degree,50k to 99k,Conservative,Other or independent,Working,Not married
High school graduate,Male,1998.0,Student,"$125,000 or more",Slightly liberal,Democrat,"Single, never married",8.0,7.0,22.0,1,1,Male,Some college or less,100k+,Liberal,Democrat,Not working,Not married
